mosaic_id;ra_dates;dec_dates;date;flux_dates
P125+42;125.491;41.92;2019-12-09 04:34:51;1.077
P125+59;125.273;59.484;2019-12-02 08:11:14;1.189
P126+02;126.824;1.768;2020-11-30 14:42:22;1.587
P126+09;126.711;9.298;2019-02-28 12:45:54;0.97
P126+27;126.093;26.864;2019-10-19 19:51:19;1.096
P126+29;126.883;29.379;2018-09-14 21:15:00;0.945
P126+34;126.012;34.394;2019-03-10 08:37:54;0.948
P126+47;126.234;46.944;2019-11-30 09:26:50;0.96
P126+49;126.965;49.458;2020-02-01 03:17:15;1.002
P126+52;126.2;51.962;2020-02-11 14:25:27;0.598
P126+57;126.949;56.985;2020-02-10 11:29:14;1.056
P126+65;126.237;64.507;2018-08-14 12:40:37;1.208
P127+32;127.661;31.894;2019-08-20 15:22:09;0.893
P127+39;127.49;39.422;2019-04-08 23:02:52;1.015
P127+44;127.189;44.44;2020-02-09 22:09:40;1.11
P128+27;128.994;26.882;2019-08-19 12:48:18;0.951
P128+37;128.908;36.921;2018-09-12 18:04:21;0.952
P128+42;128.971;41.941;2019-02-14 01:21:34;0.959
P128+54;128.882;54.488;2020-01-29 00:17:48;1.05
P129+02;129.414;1.783;2020-12-06 01:14:48;1.024
P129+29;129.858;29.397;2019-03-13 08:46:24;0.938
P129+34;129.15;34.412;2018-10-27 03:17:52;0.915
P12Hetdex11;172.558;52.122;2018-07-24 00:21:12;0.968
P130+32;130.71;31.912;2019-04-05 06:01:24;0.895
P130+39;130.842;39.442;2019-12-10 15:28:10;1.037
P130+44;130.816;44.461;2019-03-13 17:54:25;1.098
P130+47;130.028;46.966;2019-02-13 14:01:16;1.048
P130+49;130.95;49.481;2020-01-23 18:12:57;0.969
P130+52;130.403;51.987;2020-02-12 01:34:51;1.188
P130+60;130.378;59.514;2019-10-28 10:41:34;1.034
P130+62;130.196;62.022;2018-10-25 17:13:08;1.164
P131+57;131.704;57.013;2019-10-26 19:56:34;0.991
P131+67;131.409;67.045;2018-08-14 03:55:38;1.087
P132+02;132.003;1.798;2020-12-23 10:25:17;0.936
P132+29;132.826;29.414;2018-10-24 12:23:52;0.935
P132+34;132.291;34.431;2019-12-14 19:58:47;1.05
P132+37;132.147;36.94;2019-11-21 02:06:57;0.918
P132+42;132.452;41.961;2019-10-28 02:54:46;1.067
P132+65;132.259;64.542;2018-09-25 01:06:58;1.03
P133+19;133.529;19.378;2020-05-21 22:01:25;0.977
P133+32;133.76;31.929;2019-12-01 20:33:29;0.611
P133+47;133.822;46.988;2019-03-25 22:18:28;0.739
P133+55;133.341;54.514;2019-10-22 18:26:46;1.066
P134+02;134.593;1.813;2020-12-31 01:21:25;1.001
P134+27;134.799;26.915;2019-12-06 04:00:14;0.842
P134+39;134.195;39.461;2019-10-18 14:13:33;0.94
P134+44;134.444;44.482;2019-02-06 10:18:25;0.977
P134+50;134.936;49.504;2018-10-23 23:18:21;1.094
P134+52;134.609;52.011;2019-10-23 03:12:28;1.03
P135+29;135.798;29.431;2020-02-13 07:43:02;0.908
P135+34;135.427;34.449;2018-10-23 16:18:59;0.985
P135+37;135.386;36.958;2019-11-21 03:40:39;0.933
P135+42;135.935;41.981;2019-09-27 00:33:46;0.987
P135+60;135.483;59.544;2019-11-19 07:15:19;0.971
P135+62;135.72;62.054;2018-10-24 00:14:06;1.047
P136+17;136.818;16.887;2018-10-19 17:27:19;0.941
P136+32;136.811;31.947;2020-01-23 12:20:13;0.937
P136+57;136.462;57.041;2019-11-14 01:17:53;0.934
P137+02;137.183;1.828;2020-12-12 10:45:57;0.963
P137+39;137.549;39.48;2019-10-28 12:52:12;0.9
P137+47;137.619;47.01;2019-10-09 04:44:37;1.064
P137+55;137.803;54.539;2019-07-04 19:54:08;1.004
P138+29;138.77;29.448;2020-01-29 01:17:35;0.769
P138+34;138.566;34.467;2019-12-06 16:03:18;0.884
P138+37;138.626;36.977;2019-11-20 06:56:24;0.821
P138+45;138.073;44.503;2019-03-10 23:26:30;0.985
P138+50;138.924;49.527;2018-10-19 13:47:00;1.144
P138+52;138.818;52.035;2019-07-07 16:52:47;0.813
P138+65;138.29;64.577;2019-03-20 11:46:55;0.979
P138+67;138.057;67.084;2019-09-02 03:10:33;1.07
P139+02;139.773;1.843;2020-12-11 03:56:41;1.103
P139+32;139.862;31.964;2020-01-27 06:30:10;0.955
P139+42;139.418;42.001;2019-02-06 13:15:47;0.884
P13Hetdex12;174.68;45.332;2018-08-27 18:05:03;1.021
P140+39;140.903;39.499;2019-10-24 23:37:32;0.86
